Text-ID	Sentence-ID	Presence
BG_001	1	0.8304831981658936
BG_001	2	0.2944572865962982
BG_001	3	0.6277629733085632
BG_001	4	0.7691013813018799
BG_001	5	0.7089067101478577
BG_001	6	0.7024083733558655
BG_001	7	0.18737831711769104
BG_001	8	0.041105300188064575
BG_001	9	0.03506232425570488
BG_001	10	0.030452264472842216
BG_001	11	0.5845845937728882
BG_001	12	0.09223851561546326
BG_001	13	0.15381765365600586
BG_001	14	0.631176769733429
BG_001	15	0.2884904742240906
BG_001	16	0.14176693558692932
BG_001	17	0.14699231088161469
BG_001	18	0.8253903388977051
BG_001	19	0.06488534063100815
BG_001	20	0.04817374050617218
BG_001	21	0.3821014165878296
BG_001	22	0.10630025714635849
BG_001	23	0.9498821496963501
BG_001	24	0.9733514785766602
BG_001	25	0.2231956422328949
BG_001	26	0.7496125102043152
BG_001	27	0.3269484341144562
BG_001	28	0.09697011858224869
BG_001	29	0.4947795867919922
BG_001	30	0.18854406476020813
BG_001	31	0.8603737354278564
BG_001	32	0.5569248199462891
BG_001	33	0.41401076316833496
BG_001	34	0.4056001603603363
BG_001	35	0.20970605313777924
BG_001	36	0.828850507736206
BG_001	37	0.9137071371078491
BG_001	38	0.8275696635246277
BG_001	39	0.5577037334442139
BG_001	40	0.8045622110366821
BG_007	1	0.6019017696380615
BG_007	2	0.267113596200943
BG_007	3	0.7808825969696045
BG_007	4	0.7340304255485535
BG_007	5	0.3115970492362976
BG_007	6	0.5729729533195496
BG_007	7	0.732917308807373
BG_007	8	0.2701786458492279
BG_007	9	0.5109676718711853
BG_007	10	0.2128608524799347
BG_007	11	0.3560645580291748
BG_007	12	0.08983699977397919
BG_007	13	0.007253875490278006
BG_007	14	0.48841655254364014
BG_007	15	0.7522493004798889
BG_007	16	0.052604448050260544
BG_007	17	0.865334153175354
BG_007	18	0.5078588724136353
BG_007	19	0.19085370004177094
BG_007	20	0.4220358729362488
BG_007	21	0.717710018157959
BG_007	22	0.6070972681045532
BG_007	23	0.13292957842350006
BG_007	24	0.6734173893928528
BG_007	25	0.03385075554251671
BG_007	26	0.3849055767059326
BG_007	27	0.14888215065002441
BG_007	28	0.5988729596138
BG_007	29	0.15384268760681152
BG_007	30	0.7211922407150269
BG_007	31	0.09035784006118774
BG_007	32	0.057726383209228516
BG_007	33	0.330417662858963
BG_007	34	0.2623790502548218
BG_007	35	0.4240833520889282
BG_007	36	0.25393661856651306
BG_007	37	0.713013231754303
BG_007	38	0.33950507640838623
BG_007	39	0.7433441281318665
BG_007	40	0.2156081199645996
BG_007	41	0.5776154398918152
BG_007	42	0.6484662890434265
BG_007	43	0.039511822164058685
BG_007	44	0.12850674986839294
BG_007	45	0.003183281049132347
BG_007	46	0.12422299385070801
BG_007	47	0.22585006058216095
BG_007	48	0.6948283314704895
BG_007	49	0.5826350450515747
BG_007	50	0.23172320425510406
BG_007	51	0.7588144540786743
BG_007	52	0.08992955833673477
BG_007	53	0.344340980052948
BG_007	54	0.2015521228313446
BG_007	55	0.5085556507110596
BG_007	56	0.6075430512428284
BG_007	57	0.7801128625869751
BG_022	1	0.11252177506685257
BG_022	2	0.9322546124458313
BG_022	3	0.25092026591300964
BG_022	4	0.7941785454750061
BG_022	5	0.6611010432243347
BG_022	6	0.8216507434844971
BG_022	7	0.47861725091934204
BG_022	8	0.645725667476654
BG_022	9	0.33116963505744934
BG_022	10	0.4725210666656494
BG_022	11	0.18473683297634125
BG_022	12	0.41427090764045715
BG_022	13	0.6667712926864624
BG_022	14	0.9872115254402161
BG_022	15	0.0331948958337307
BG_022	16	0.973052442073822
BG_022	17	0.6160368919372559
BG_022	18	0.876258373260498
BG_022	19	0.5387534499168396
BG_022	20	0.7002638578414917
BG_022	21	0.4368232190608978
BG_022	22	0.1159515529870987
BG_022	23	0.19227467477321625
BG_022	24	0.6661129593849182
BG_022	25	0.2841683030128479
BG_022	26	0.5569879412651062
BG_022	27	0.7654581069946289
BG_022	28	0.2816435396671295
BG_022	29	0.5317655801773071
BG_026	1	0.371847927570343
