Word,total_occurrences,misclassified_occurrences,misclassification_percentage
swamp,1,1,100.0
liberators,1,1,100.0
empathy,1,1,100.0
penev,1,1,100.0
chilingirov,1,1,100.0
professors,2,2,100.0
lyubomir,1,1,100.0
miletich,1,1,100.0
benyo,1,1,100.0
tsonev,1,1,100.0
intellectuals,1,1,100.0
linking,1,1,100.0
504,1,1,100.0
antifa,5,5,100.0
bloombergnef,1,1,100.0
ulrich,1,1,100.0
recoup,1,1,100.0
efremova,2,2,100.0
valour,1,1,100.0
770,1,1,100.0
inactive,1,1,100.0
mlsp,1,1,100.0
eurostat,2,2,100.0
silc,1,1,100.0
measurable,1,1,100.0
dimensions,2,2,100.0
malamov,1,1,100.0
rositsa,2,2,100.0
georgieva,1,1,100.0
wisdom,2,2,100.0
statesmanlike,1,1,100.0
bow,1,1,100.0
devotion,3,3,100.0
mogili,1,1,100.0
borovo,1,1,100.0
bozhidar,1,1,100.0
panayotov,1,1,100.0
collects,2,2,100.0
borne,4,4,100.0
trevor,1,1,100.0
sikorski,1,1,100.0
dana,1,1,100.0
če,1,1,100.0
ličina,1,1,100.0
nova24tv,2,2,100.0
luka,2,2,100.0
dina,1,1,100.0
averina,1,1,100.0
snyder,1,1,100.0
gadzimurad,1,1,100.0
rashidov,1,1,100.0
bairang,1,1,100.0
bayrang,1,1,100.0
abdulrashid,1,1,100.0
shocking,3,3,100.0
slovenian,1,1,100.0
zornitsa,1,1,100.0
rusinova,2,2,100.0
labelling,1,1,100.0
ea,1,1,100.0
hildebrand,1,1,100.0
stadnik,1,1,100.0
sadulayev,1,1,100.0
kyle,1,1,100.0
lazar,1,1,100.0
nadia,1,1,100.0
klisurska,2,2,100.0
natalia,2,2,100.0
oversupply,1,1,100.0
regasification,1,1,100.0
quad,1,1,100.0
cycling,1,1,100.0
cracking,1,1,100.0
firecrackers,1,1,100.0
escaping,1,1,100.0
biti,1,1,100.0
lom,1,1,100.0
oshey,1,1,100.0
korda,1,1,100.0
diving,1,1,100.0
daley,1,1,100.0
equitation,1,1,100.0
hao,1,1,100.0
liu,1,1,100.0
tarnovci,1,1,100.0
berultseva,1,1,100.0
pentathlon,1,1,100.0
irina,1,1,100.0
sajjad,1,1,100.0
ganjadeh,1,1,100.0
jumping,3,3,100.0
golf,3,3,100.0
nellie,1,1,100.0
alina,1,1,100.0
harnashko,1,1,100.0
argentina,2,2,100.0
vuungtae,1,1,100.0
yoon,1,1,100.0
rhythmic,1,1,100.0
gymnastics,1,1,100.0
zaretska,1,1,100.0
dominican,1,1,100.0
52,4,4,100.0
lasitskene,1,1,100.0
yaroslava,1,1,100.0
makhuchik,1,1,100.0
bonn,2,2,100.0
78,1,1,100.0
eumir,1,1,100.0
marcial,1,1,100.0
ryomei,1,1,100.0
tanaka,1,1,100.0
saken,1,1,100.0
molly,1,1,100.0
seidel,1,1,100.0
baseball,1,1,100.0
standka,1,1,100.0
kresteva,1,1,100.0
tsukimi,1,1,100.0
namiki,1,1,100.0
bibosinov,1,1,100.0
kazakhstan,5,5,100.0
oleksandr,1,1,100.0
kizhnyak,1,1,100.0
1000m,1,1,100.0
shiao,1,1,100.0
wen,1,1,100.0
huang,1,1,100.0
lovlina,1,1,100.0
borgohain,1,1,100.0
gleb,1,1,100.0
bakshi,1,1,100.0
mbappé,1,1,100.0
unloved,1,1,100.0
friedrich,1,1,100.0
kramer,1,1,100.0
holz,1,1,100.0
protestant,3,3,100.0
explanatory,1,1,100.0
cedar,1,1,100.0
synchronised,1,1,100.0
1500,1,1,100.0
striker,1,1,100.0
invaluable,1,1,100.0
welsh,1,1,100.0
disappoints,1,1,100.0
jakub,1,1,100.0
vadles,1,1,100.0
viseslav,1,1,100.0
vesely,1,1,100.0
josh,1,1,100.0
kerr,1,1,100.0
javelin,1,1,100.0
medalists,1,1,100.0
sow,2,2,100.0
dietrich,1,1,100.0
sara,2,2,100.0
kovač,1,1,100.0
neeraj,1,1,100.0
chopra,1,1,100.0
artwork,1,1,100.0
unperturbed,2,2,100.0
outweigh,2,2,100.0
felix,1,1,100.0
klein,2,2,100.0
semitism,6,6,100.0
schuster,1,1,100.0
immunize,1,1,100.0
guesthouses,1,1,100.0
gourmet,1,1,100.0
trails,1,1,100.0
wellness,1,1,100.0
hiking,1,1,100.0
meisner,1,1,100.0
goertz,1,1,100.0
monk,1,1,100.0
fictitious,1,1,100.0
katsyarov,1,1,100.0
stoycho,1,1,100.0
gastronomy,1,1,100.0
plaque,1,1,100.0
embedded,2,2,100.0
ivaylo,1,1,100.0
chochev,1,1,100.0
kicker,1,1,100.0
helpless,1,1,100.0
deflected,1,1,100.0
teammate,1,1,100.0
kendis,1,1,100.0
gesture,3,3,100.0
tricked,1,1,100.0
punched,2,2,100.0
shoulder,1,1,100.0
msnbc,2,2,100.0
flashed,1,1,100.0
fannon,1,1,100.0
weakening,3,3,100.0
riigikogu,1,1,100.0
slump,2,2,100.0
ekre,4,4,100.0
sde,1,1,100.0
subculture,1,1,100.0
arbiters,1,1,100.0
rows,1,1,100.0
levy,2,2,100.0
legalised,1,1,100.0
resettlement,1,1,100.0
tumbling,1,1,100.0
affordability,1,1,100.0
battlegrounds,1,1,100.0
skytte,1,1,100.0
maven,1,1,100.0
disagreeing,1,1,100.0
disproven,2,2,100.0
45th,2,2,100.0
dishonesty,1,1,100.0
sidelined,1,1,100.0
preached,2,2,100.0
cathedral,1,1,100.0
decho,2,2,100.0
dechev,2,2,100.0
qatargate,1,1,100.0
pes,1,1,100.0
ruined,1,1,100.0
simplified,1,1,100.0
dobrin,1,1,100.0
invoice,1,1,100.0
ruc,1,1,100.0
downes,2,2,100.0
eberswalde,1,1,100.0
magdeburg,1,1,100.0
standardisation,1,1,100.0
symbiosis,1,1,100.0
nikolova,3,3,100.0
moew,2,2,100.0
mihailov,1,1,100.0
atanaska,2,2,100.0
mihaylov,1,1,100.0
oncohematologist,1,1,100.0
deteriorates,1,1,100.0
immunized,1,1,100.0
thematic,1,1,100.0
biontek,2,2,100.0
sewerage,1,1,100.0
wastewater,3,3,100.0
agglomerations,1,1,100.0
realising,1,1,100.0
ounces,1,1,100.0
constabulary,2,2,100.0
chest,3,3,100.0
demonstrator,1,1,100.0
inches,2,2,100.0
invention,2,2,100.0
academician,1,1,100.0
nikolay,1,1,100.0
denkov,1,1,100.0
erasmus,1,1,100.0
doping,1,1,100.0
confronting,1,1,100.0
catalyst,1,1,100.0
doubted,1,1,100.0
remarked,1,1,100.0
miroslav,1,1,100.0
unusually,2,2,100.0
correlatively,1,1,100.0
coherence,1,1,100.0
commercialization,1,1,100.0
precedence,1,1,100.0
elects,1,1,100.0
arsenal,1,1,100.0
reciprocity,1,1,100.0
mitrofanova,1,1,100.0
hints,1,1,100.0
abrupt,1,1,100.0
syndicatedly,1,1,100.0
spies,3,3,100.0
kalinov,1,1,100.0
pressed,1,1,100.0
pulmed,1,1,100.0
contingently,1,1,100.0
expedient,1,1,100.0
drifting,1,1,100.0
erode,1,1,100.0
unprincipled,1,1,100.0
secondly,2,2,100.0
yotova,1,1,100.0
intensifying,1,1,100.0
trimorie,1,1,100.0
relocated,2,2,100.0
cardiology,3,3,100.0
waist,2,2,100.0
immeyer,2,2,100.0
thrace,2,2,100.0
replacing,1,1,100.0
reconciled,1,1,100.0
principled,1,1,100.0
iliana,1,1,100.0
iotova,1,1,100.0
schleswig,1,1,100.0
holstein,1,1,100.0
saxony,2,2,100.0
bremen,1,1,100.0
badge,1,1,100.0
gerd,3,3,100.0
winand,1,1,100.0
evading,1,1,100.0
scrutiny,2,2,100.0
transitional,1,1,100.0
decriminalise,1,1,100.0
homosexuality,1,1,100.0
interrogated,1,1,100.0
widow,2,2,100.0
incorrigibility,1,1,100.0
kowtow,2,2,100.0
bend,1,1,100.0
clans,1,1,100.0
moassie,1,1,100.0
readings,1,1,100.0
lozan,3,3,100.0
kasimova,1,1,100.0
embodied,3,3,100.0
dps,2,2,100.0
totalitarian,1,1,100.0
lustration,1,1,100.0
concentration,5,5,100.0
rebuilding,1,1,100.0
draws,2,2,100.0
biographical,1,1,100.0
connivance,1,1,100.0
bearer,2,2,100.0
witnessing,1,1,100.0
clichés,1,1,100.0
lays,1,1,100.0
realization,2,2,100.0
dismantle,2,2,100.0
therein,1,1,100.0
déjà,1,1,100.0
prosecutions,1,1,100.0
voluntarily,2,2,100.0
recidivism,1,1,100.0
aitos,1,1,100.0
reasoned,1,1,100.0
substantive,1,1,100.0
sentencing,2,2,100.0
foregoing,1,1,100.0
emphasise,1,1,100.0
icab,1,1,100.0
tomislav,3,3,100.0
piloted,2,2,100.0
unlicensed,2,2,100.0
371,1,1,100.0
seq,1,1,100.0
tripartite,1,1,100.0
coronercrisis,1,1,100.0
accents,1,1,100.0
redesigning,1,1,100.0
donchev,4,4,100.0
monov,1,1,100.0
vesislava,2,2,100.0
ivanova,2,2,100.0
restrained,1,1,100.0
wares,1,1,100.0
convict,2,2,100.0
jock,1,1,100.0
defamed,1,1,100.0
desirable,3,3,100.0
violeta,1,1,100.0
magdalincheva,1,1,100.0
unceremoniously,1,1,100.0
andrei,1,1,100.0
yoncheva,1,1,100.0
chronology,1,1,100.0
reply,1,1,100.0
elena,5,5,100.0
abused,1,1,100.0
impresses,1,1,100.0
summarise,1,1,100.0
vidin,1,1,100.0
kardzhali,1,1,100.0
montana,1,1,100.0
councilors,1,1,100.0
sideline,1,1,100.0
backlash,1,1,100.0
espn,2,2,100.0
rece,1,1,100.0
5m,2,2,100.0
blake,1,1,100.0
conservatism,1,1,100.0
liberties,1,1,100.0
hacking,2,2,100.0
dee,1,1,100.0
delgado,1,1,100.0
recorde,1,1,100.0
variety,1,1,100.0
signaling,2,2,100.0
innocuous,1,1,100.0
retweeted,1,1,100.0
pardon,1,1,100.0
tempore,1,1,100.0
butch,1,1,100.0
banning,3,3,100.0
differing,1,1,100.0
burt,1,1,100.0
touchscreen,1,1,100.0
antithetical,1,1,100.0
invalidate,1,1,100.0
dod,1,1,100.0
newsmax,1,1,100.0
retweet,1,1,100.0
densely,1,1,100.0
raisi,2,2,100.0
zahra,2,2,100.0
pasdaran,2,2,100.0
elaborating,1,1,100.0
ebrahim,2,2,100.0
hello,2,2,100.0
bnr,1,1,100.0
binev,1,1,100.0
deputies,2,2,100.0
tyres,1,1,100.0
patrols,1,1,100.0
deterred,1,1,100.0
imperfections,1,1,100.0
texts,2,2,100.0
retreat,3,3,100.0
redistributing,1,1,100.0
dragomir,1,1,100.0
stoynev,1,1,100.0
outstretched,1,1,100.0
ujb,1,1,100.0
condones,1,1,100.0
patched,1,1,100.0
contestation,1,1,100.0
daritkova,3,3,100.0
unaware,1,1,100.0
realised,1,1,100.0
mashhad,2,2,100.0
azad,1,1,100.0
neighbourhoods,1,1,100.0
specifics,1,1,100.0
compatibility,1,1,100.0
tpp,1,1,100.0
ballast,1,1,100.0
filter,1,1,100.0
domlian,1,1,100.0
yastrebino,1,1,100.0
irrigation,1,1,100.0
dammed,1,1,100.0
bebresh,1,1,100.0
trakietz,1,1,100.0
insurable,1,1,100.0
andrey,1,1,100.0
freelancers,1,1,100.0
denitsa,1,1,100.0
sacheva,1,1,100.0
allocates,1,1,100.0
zlatev,1,1,100.0
revelation,1,1,100.0
diana,2,2,100.0
damyanova,2,2,100.0
lukoil,1,1,100.0
gyurov,2,2,100.0
venice,1,1,100.0
ethnicity,2,2,100.0
582,1,1,100.0
448,1,1,100.0
colin,1,1,100.0
keegan,1,1,100.0
collins,1,1,100.0
simplicity,1,1,100.0
repatriated,2,2,100.0
accomplishing,1,1,100.0
deficits,2,2,100.0
reagan,1,1,100.0
endorse,1,1,100.0
panies,1,1,100.0
lessens,1,1,100.0
cripples,1,1,100.0
170,1,1,100.0
harness,1,1,100.0
championing,1,1,100.0
lame,1,1,100.0
duck,1,1,100.0
stealing,3,3,100.0
subsidization,1,1,100.0
ests,1,1,100.0
hpp,1,1,100.0
poisoned,1,1,100.0
tuenty,2,2,100.0
blagoevgrad,1,1,100.0
hydraulically,1,1,100.0
pollutes,1,1,100.0
baseline,1,1,100.0
assaults,1,1,100.0
617,1,1,100.0
discriminatory,2,2,100.0
lagging,1,1,100.0
privatisation,1,1,100.0
penalises,1,1,100.0
innovators,1,1,100.0
concentrations,1,1,100.0
stifle,1,1,100.0
hamper,1,1,100.0
ethically,1,1,100.0
reuse,1,1,100.0
ofgem,1,1,100.0
cheapest,1,1,100.0
harmony,2,2,100.0
tackled,1,1,100.0
storms,2,2,100.0
heatwaves,1,1,100.0
destabilised,1,1,100.0
governs,1,1,100.0
mindful,1,1,100.0
winners,3,3,100.0
losers,2,2,100.0
fluences,1,1,100.0
remanufacturing,1,1,100.0
maximising,1,1,100.0
entertain,1,1,100.0
taxi,1,1,100.0
metre,1,1,100.0
limerick,1,1,100.0
policing,1,1,100.0
481,1,1,100.0
tennessee,1,1,100.0
kredich,1,1,100.0
catching,2,2,100.0
homework,1,1,100.0
bedtime,1,1,100.0
10pm,1,1,100.0
5am,1,1,100.0
ins,1,1,100.0
sex,1,1,100.0
zip,1,1,100.0
breadth,1,1,100.0
accent,1,1,100.0
breezed,1,1,100.0
semis,1,1,100.0
hint,2,2,100.0
twang,1,1,100.0
underrepresented,1,1,100.0
enrollment,1,1,100.0
safeguard,1,1,100.0
civics,2,2,100.0
vividly,1,1,100.0
substitute,3,3,100.0
coombs,1,1,100.0
relish,1,1,100.0
southampton,1,1,100.0
midfielder,1,1,100.0
colchester,1,1,100.0
bradford,1,1,100.0
relegations,1,1,100.0
carabao,1,1,100.0
scot,1,1,100.0
selections,1,1,100.0
capping,1,1,100.0
predator,5,5,100.0
barrington,1,1,100.0
finalist,1,1,100.0
dugout,1,1,100.0
wycombe,1,1,100.0
stewart,1,1,100.0
delighted,3,3,100.0
shortlist,1,1,100.0
tier,3,3,100.0
jailed,2,2,100.0
homophobic,1,1,100.0
junior,2,2,100.0
backstroke,1,1,100.0
coláiste,1,1,100.0
cholmcille,1,1,100.0
jettison,1,1,100.0
kidnapping,3,3,100.0
ventura,1,1,100.0
rapes,2,2,100.0
spree,1,1,100.0
spanning,1,1,100.0
1975,1,1,100.0
1986,1,1,100.0
erik,1,1,100.0
hag,1,1,100.0
roy,1,1,100.0
witty,1,1,100.0
ripping,1,1,100.0
rarity,1,1,100.0
ian,3,3,100.0
fein,1,1,100.0
arguably,1,1,100.0
silly,1,1,100.0
flatter,1,1,100.0
favoured,1,1,100.0
parkin,1,1,100.0
relied,1,1,100.0
articulate,1,1,100.0
geraldine,5,5,100.0
arrogance,1,1,100.0
ignoring,2,2,100.0
discredited,1,1,100.0
grab,2,2,100.0
baseless,1,1,100.0
jim,1,1,100.0
burr,1,1,100.0
jefferson,1,1,100.0
yearsrarities,1,1,100.0
upheld,4,4,100.0
criminally,1,1,100.0
allahu,2,2,100.0
murderer,1,1,100.0
afterward,1,1,100.0
shaitan,2,2,100.0
poignant,1,1,100.0
rebellion,1,1,100.0
mali,1,1,100.0
enraged,1,1,100.0
delirium,1,1,100.0
absorption,1,1,100.0
psychosis,1,1,100.0
align,1,1,100.0
leaning,2,2,100.0
bedroom,2,2,100.0
phoned,1,1,100.0
reciting,1,1,100.0
reid,1,1,100.0
rteag,1,1,100.0
francisco,1,1,100.0
presentations,1,1,100.0
paused,1,1,100.0
essays,1,1,100.0
dissertations,1,1,100.0
delicious,1,1,100.0
8am,1,1,100.0
bexleyheath,1,1,100.0
inquest,1,1,100.0
downey,2,2,100.0
darragh,3,3,100.0
verdicts,1,1,100.0
knocknanevin,1,1,100.0
kildorrery,1,1,100.0
forceful,1,1,100.0
khalil,1,1,100.0
withheld,2,2,100.0
lastly,2,2,100.0
rainforest,1,1,100.0
exonerated,1,1,100.0
manhattan,1,1,100.0
cumh,1,1,100.0
bestselling,1,1,100.0
sacramento,2,2,100.0
schubert,2,2,100.0
falchuk,2,2,100.0
marry,2,2,100.0
jair,1,1,100.0
bolsonaro,1,1,100.0
niamh,1,1,100.0
farrell,1,1,100.0
creedon,1,1,100.0
damien,1,1,100.0
doolin,4,4,100.0
cool,4,4,100.0
loungewear,2,2,100.0
sock,1,1,100.0
dempsey,1,1,100.0
spillane,1,1,100.0
wyvern,1,1,100.0
lingo,1,1,100.0
elikya,1,1,100.0
shorts,1,1,100.0
tops,2,2,100.0
softer,1,1,100.0
childrenswear,1,1,100.0
styles,1,1,100.0
cute,1,1,100.0
checkerboard,2,2,100.0
colours,2,2,100.0
nettle,1,1,100.0
soup,1,1,100.0
iced,1,1,100.0
float,1,1,100.0
kildare,1,1,100.0
exterior,1,1,100.0
obsessed,1,1,100.0
maestro,1,1,100.0
ratcliffe,1,1,100.0
jeffery,1,1,100.0
clark,2,2,100.0
wireless,1,1,100.0
thermostats,1,1,100.0
nest,1,1,100.0
lime,1,1,100.0
cocktail,1,1,100.0
soda,1,1,100.0
magic,1,1,100.0
seaside,1,1,100.0
99th,1,1,100.0
reidy,1,1,100.0
wealthiest,1,1,100.0
dodges,1,1,100.0
syrup,1,1,100.0
cucumber,1,1,100.0
dive,1,1,100.0
tonic,1,1,100.0
slice,2,2,100.0
aoife,1,1,100.0
predominantly,3,3,100.0
karine,1,1,100.0
dodging,1,1,100.0
racismthings,1,1,100.0
redlining,1,1,100.0
destitute,1,1,100.0
restrict,2,2,100.0
pew,1,1,100.0
navigates,1,1,100.0
ailments,1,1,100.0
welder,1,1,100.0
underhill,1,1,100.0
smashing,1,1,100.0
owen_faz,1,1,100.0
englandrugby,1,1,100.0
score,10,10,100.0
legislatures,2,2,100.0
introducedand,1,1,100.0
enactedlaws,1,1,100.0
execute,2,2,100.0
edges,1,1,100.0
fascinating,2,2,100.0
composure,2,2,100.0
leicester,2,2,100.0
grass,3,3,100.0
tom,2,2,100.0
curry,1,1,100.0
labs,1,1,100.0
abc,1,1,100.0
intrigued,2,2,100.0
doj,1,1,100.0
mcnamee,1,1,100.0
mediaite,1,1,100.0
ip,1,1,100.0
comparatively,1,1,100.0
classifying,1,1,100.0
viewing,1,1,100.0
filibuster,1,1,100.0
grassroots,4,4,100.0
los,1,1,100.0
angeles,1,1,100.0
rightsappearing,1,1,100.0
omar,1,1,100.0
morand,1,1,100.0
prayed,1,1,100.0
psychic,1,1,100.0
cowering,1,1,100.0
aloud,1,1,100.0
hotline,2,2,100.0
screaming,1,1,100.0
transported,3,3,100.0
elaborately,1,1,100.0
avenges,1,1,100.0
onfray,1,1,100.0
echo,2,2,100.0
figaro,1,1,100.0
alexandre,1,1,100.0
buchinger,1,1,100.0
odd,1,1,100.0
toed,1,1,100.0
ungulates,1,1,100.0
stowed,1,1,100.0
dresden,2,2,100.0
zoll,3,3,100.0
marvin,1,1,100.0
christmann,2,2,100.0
aided,1,1,100.0
247,1,1,100.0
coded,1,1,100.0
reformism,2,2,100.0
722,1,1,100.0
164,1,1,100.0
perfume,1,1,100.0
304,1,1,100.0
noble,1,1,100.0
unavoidable,1,1,100.0
tallies,1,1,100.0
électricité,1,1,100.0
abetted,1,1,100.0
utilized,1,1,100.0
envisaging,1,1,100.0
exposing,1,1,100.0
insert,1,1,100.0
erroneous,2,2,100.0
misinterpretation,1,1,100.0
utility,5,5,100.0
accidental,1,1,100.0
agence,1,1,100.0
presse,1,1,100.0
memos,1,1,100.0
reactors,2,2,100.0
fission,1,1,100.0
modifying,1,1,100.0
accounted,1,1,100.0
tanzania,1,1,100.0
mayotte,1,1,100.0
curfews,1,1,100.0
kambyl,1,1,100.0
kostanay,1,1,100.0
akmola,1,1,100.0
aktöbe,1,1,100.0
morgue,1,1,100.0
246,1,1,100.0
consciously,1,1,100.0
adha,4,4,100.0
zilhijjah,1,1,100.0
hijri,1,1,100.0
prophets,1,1,100.0
lailahe,1,1,100.0
illallah,1,1,100.0
uavs,2,2,100.0
deylemi,1,1,100.0
nafil,2,2,100.0
fasts,1,1,100.0
wahdehu,1,1,100.0
sharike,1,1,100.0
lehu,1,1,100.0
muwatta,1,1,100.0
vacancy,2,2,100.0
232,1,1,100.0
uav,1,1,100.0
dakika,1,1,100.0
şkur,2,2,100.0
990,1,1,100.0
unmanned,1,1,100.0
akinci,1,1,100.0
drumev,9,8,88.88888888888889
plane,9,8,88.88888888888889
scharli,8,7,87.5
puts,8,7,87.5
pros,8,7,87.5
sans,8,7,87.5
alt,8,7,87.5
ubs,15,13,86.66666666666667
excavations,7,6,85.71428571428571
erol,7,6,85.71428571428571
petrova,7,6,85.71428571428571
contributed,7,6,85.71428571428571
retrofitting,7,6,85.71428571428571
counsel,7,6,85.71428571428571
mazda,7,6,85.71428571428571
seasonal,7,6,85.71428571428571
handover,7,6,85.71428571428571
athletics,7,6,85.71428571428571
konstantinov,7,6,85.71428571428571
phil,7,6,85.71428571428571
kiev,13,11,84.61538461538461
objectives,13,11,84.61538461538461
automatically,6,5,83.33333333333334
madagascar,6,5,83.33333333333334
taishan,6,5,83.33333333333334
slovakia,6,5,83.33333333333334
tulsa,6,5,83.33333333333334
graët,6,5,83.33333333333334
düsseldorf,6,5,83.33333333333334
race,18,15,83.33333333333334
mocking,6,5,83.33333333333334
organic,6,5,83.33333333333334
offence,6,5,83.33333333333334
blind,6,5,83.33333333333334
autonomy,6,5,83.33333333333334
classroom,6,5,83.33333333333334
síochána,6,5,83.33333333333334
finucane,6,5,83.33333333333334
müller,6,5,83.33333333333334
lie,6,5,83.33333333333334
lang,6,5,83.33333333333334
storm,6,5,83.33333333333334
everybody,6,5,83.33333333333334
sabev,6,5,83.33333333333334
operator,6,5,83.33333333333334
backing,6,5,83.33333333333334
peak,6,5,83.33333333333334
feed,6,5,83.33333333333334
successive,6,5,83.33333333333334
165,6,5,83.33333333333334
motivated,6,5,83.33333333333334
mamoğlu,6,5,83.33333333333334
burgas,6,5,83.33333333333334
installed,6,5,83.33333333333334
married,6,5,83.33333333333334
reopen,6,5,83.33333333333334
adam,6,5,83.33333333333334
charts,6,5,83.33333333333334
boost,17,14,82.35294117647058
lithuania,11,9,81.81818181818183
regulator,11,9,81.81818181818183
georgi,21,17,80.95238095238095
generous,5,4,80.0
mohammed,5,4,80.0
consulate,5,4,80.0
alison,10,8,80.0
rbs,5,4,80.0
summary,5,4,80.0
instruments,10,8,80.0
shelters,5,4,80.0
kurds,5,4,80.0
brake,5,4,80.0
namely,5,4,80.0
1995,5,4,80.0
qualifying,5,4,80.0
churches,5,4,80.0
reconstruction,5,4,80.0
renew,5,4,80.0
profiles,5,4,80.0
invalid,5,4,80.0
fat,5,4,80.0
taiwan,15,12,80.0
jets,5,4,80.0
newsweek,15,12,80.0
explosive,5,4,80.0
aiming,5,4,80.0
voiced,5,4,80.0
forth,5,4,80.0
negotiate,5,4,80.0
brown,5,4,80.0
funny,5,4,80.0
celebrate,5,4,80.0
fabric,5,4,80.0
balkan,15,12,80.0
parkinson,5,4,80.0
drinking,5,4,80.0
antidepressants,5,4,80.0
cbp,5,4,80.0
roadmap,5,4,80.0
assumptions,5,4,80.0
eating,5,4,80.0
circulated,5,4,80.0
sept,5,4,80.0
papandreou,5,4,80.0
sofia,15,12,80.0
kids,5,4,80.0
framatome,5,4,80.0
cobas,5,4,80.0
rank,5,4,80.0
gotten,5,4,80.0
biotechnology,5,4,80.0
adequately,5,4,80.0
governorship,5,4,80.0
ccpc,5,4,80.0
delivering,5,4,80.0
assist,5,4,80.0
authors,5,4,80.0
copyrights,5,4,80.0
presidents,5,4,80.0
antoaneta,5,4,80.0
cough,5,4,80.0
spectators,5,4,80.0
greeks,5,4,80.0
hosts,5,4,80.0
vacation,10,8,80.0
confirming,5,4,80.0
flank,5,4,80.0
sole,5,4,80.0
inability,5,4,80.0
dissent,5,4,80.0
malta,5,4,80.0
advisers,5,4,80.0
chances,5,4,80.0
panov,9,7,77.77777777777779
theory,9,7,77.77777777777779
adoption,9,7,77.77777777777779
republicans,9,7,77.77777777777779
reporting,18,14,77.77777777777779
flying,9,7,77.77777777777779
spokesperson,18,14,77.77777777777779
balkans,13,10,76.92307692307693
digitalization,13,10,76.92307692307693
usual,17,13,76.47058823529412
directorate,17,13,76.47058823529412
convey,4,3,75.0
bnei,4,3,75.0
ra,4,3,75.0
koran,4,3,75.0
grams,4,3,75.0
evidently,4,3,75.0
hectares,4,3,75.0
pound,4,3,75.0
zenger,4,3,75.0
5th,4,3,75.0
chairmen,4,3,75.0
constraints,4,3,75.0
recovered,8,6,75.0
jail,4,3,75.0
kiryat,4,3,75.0
spied,4,3,75.0
binyamin,4,3,75.0
filmed,4,3,75.0
guides,4,3,75.0
sheet,4,3,75.0
hoped,8,6,75.0
fort,4,3,75.0
sanitary,4,3,75.0
validity,4,3,75.0
unauthorised,4,3,75.0
seller,4,3,75.0
arranged,4,3,75.0
angelkova,8,6,75.0
brak,4,3,75.0
authentic,4,3,75.0
tragedy,4,3,75.0
erupted,4,3,75.0
proposing,4,3,75.0
bachelor,4,3,75.0
overnight,4,3,75.0
petrol,4,3,75.0
gather,4,3,75.0
scrap,4,3,75.0
inventories,4,3,75.0
stored,8,6,75.0
nikolina,4,3,75.0
drank,4,3,75.0
indefinitely,4,3,75.0
curfew,4,3,75.0
oxford,4,3,75.0
retail,12,9,75.0
konstantinos,4,3,75.0
pockets,4,3,75.0
sean,4,3,75.0
penguins,4,3,75.0
interconnections,4,3,75.0
pavlopoulos,4,3,75.0
fabrice,4,3,75.0
karma,8,6,75.0
leak,4,3,75.0
allowing,12,9,75.0
polish,8,6,75.0
protocols,4,3,75.0
49,4,3,75.0
shutdown,4,3,75.0
easter,4,3,75.0
demonstrates,4,3,75.0
casting,4,3,75.0
unveiled,4,3,75.0
signatories,4,3,75.0
turmoil,4,3,75.0
leggeri,4,3,75.0
powered,4,3,75.0
rostrum,4,3,75.0
magistrates,4,3,75.0
polfreeman,4,3,75.0
essence,4,3,75.0
restriction,4,3,75.0
mrf,4,3,75.0
damaging,4,3,75.0
generates,4,3,75.0
prigozhin,4,3,75.0
pr,4,3,75.0
deangelo,4,3,75.0
legendary,4,3,75.0
bolton,4,3,75.0
pathways,4,3,75.0
aging,4,3,75.0
cologne,4,3,75.0
fighter,4,3,75.0
katsarov,4,3,75.0
cafes,4,3,75.0
consul,4,3,75.0
broaden,4,3,75.0
gove,4,3,75.0
hout,4,3,75.0
peeters,4,3,75.0
orange,4,3,75.0
waited,4,3,75.0
listened,8,6,75.0
intruder,4,3,75.0
verses,4,3,75.0
induced,4,3,75.0
analyses,4,3,75.0
folk,4,3,75.0
carrier,4,3,75.0
jack,4,3,75.0
quotes,4,3,75.0
allgemeine,4,3,75.0
tweet,12,9,75.0
enjoys,4,3,75.0
provocation,4,3,75.0
overtime,4,3,75.0
cheap,4,3,75.0
spice,4,3,75.0
thick,4,3,75.0
metz,4,3,75.0
ages,4,3,75.0
senators,4,3,75.0
aristotle,4,3,75.0
hyperinflation,4,3,75.0
button,4,3,75.0
flanders,4,3,75.0
supplied,4,3,75.0
doherty,4,3,75.0
marked,4,3,75.0
auto,4,3,75.0
telecom,4,3,75.0
ba,8,6,75.0
declarations,4,3,75.0
cdc,4,3,75.0
antonio,4,3,75.0
chicken,4,3,75.0
explicitly,4,3,75.0
original,8,6,75.0
mahir,4,3,75.0
beyoğlu,4,3,75.0
orwell,4,3,75.0
karmic,4,3,75.0
takeaway,4,3,75.0
burg,4,3,75.0
cow,4,3,75.0
knock,4,3,75.0
fatigue,4,3,75.0
trilateral,4,3,75.0
stella,4,3,75.0
pepp,4,3,75.0
collaborative,4,3,75.0
nikos,4,3,75.0
cfo,4,3,75.0
suspect,8,6,75.0
fourthiotis,4,3,75.0
disorder,4,3,75.0
20th,4,3,75.0
emotion,4,3,75.0
pappas,4,3,75.0
pisa,4,3,75.0
renovation,4,3,75.0
wrestling,4,3,75.0
endorsed,4,3,75.0
wang,4,3,75.0
